"행정구역","2025년10월_거주자_총인구수","2025년10월_거주자_연령구간인구수","2025년10월_거주자_0세","2025년10월_거주자_1세","2025년10월_거주자_2세","2025년10월_거주자_3세","2025년10월_거주자_4세","2025년10월_거주자_5세","2025년10월_거주자_6세","2025년10월_거주자_7세","2025년10월_거주자_8세","2025년10월_거주자_9세","2025년10월_거주자_10세","2025년10월_거주자_11세","2025년10월_거주자_12세","2025년10월_거주자_13세","2025년10월_거주자_14세","2025년10월_거주자_15세","2025년10월_거주자_16세","2025년10월_거주자_17세","2025년10월_거주자_18세","2025년10월_거주자_19세","2025년10월_거주자_20세","2025년10월_거주자_21세","2025년10월_거주자_22세","2025년10월_거주자_23세","2025년10월_거주자_24세","2025년10월_거주자_25세","2025년10월_거주자_26세","2025년10월_거주자_27세","2025년10월_거주자_28세","2025년10월_거주자_29세","2025년10월_거주자_30세","2025년10월_거주자_31세","2025년10월_거주자_32세","2025년10월_거주자_33세","2025년10월_거주자_34세","2025년10월_거주자_35세","2025년10월_거주자_36세","2025년10월_거주자_37세","2025년10월_거주자_38세","2025년10월_거주자_39세","2025년10월_거주자_40세","2025년10월_거주자_41세","2025년10월_거주자_42세","2025년10월_거주자_43세","2025년10월_거주자_44세","2025년10월_거주자_45세","2025년10월_거주자_46세","2025년10월_거주자_47세","2025년10월_거주자_48세","2025년10월_거주자_49세","2025년10월_거주자_50세","2025년10월_거주자_51세","2025년10월_거주자_52세","2025년10월_거주자_53세","2025년10월_거주자_54세","2025년10월_거주자_55세","2025년10월_거주자_56세","2025년10월_거주자_57세","2025년10월_거주자_58세","2025년10월_거주자_59세","2025년10월_거주자_60세","2025년10월_거주자_61세","2025년10월_거주자_62세","2025년10월_거주자_63세","2025년10월_거주자_64세","2025년10월_거주자_65세","2025년10월_거주자_66세","2025년10월_거주자_67세","2025년10월_거주자_68세","2025년10월_거주자_69세","2025년10월_거주자_70세","2025년10월_거주자_71세","2025년10월_거주자_72세","2025년10월_거주자_73세","2025년10월_거주자_74세","2025년10월_거주자_75세","2025년10월_거주자_76세","2025년10월_거주자_77세","2025년10월_거주자_78세","2025년10월_거주자_79세","2025년10월_거주자_80세","2025년10월_거주자_81세","2025년10월_거주자_82세","2025년10월_거주자_83세","2025년10월_거주자_84세","2025년10월_거주자_85세","2025년10월_거주자_86세","2025년10월_거주자_87세","2025년10월_거주자_88세","2025년10월_거주자_89세","2025년10월_거주자_90세","2025년10월_거주자_91세","2025년10월_거주자_92세","2025년10월_거주자_93세","2025년10월_거주자_94세","2025년10월_거주자_95세","2025년10월_거주자_96세","2025년10월_거주자_97세","2025년10월_거주자_98세","2025년10월_거주자_99세","2025년10월_거주자_100세 이상"
"서울특별시 성북구 (1129000000)","421,029","421,029","1,890","1,796","1,762","1,861","1,952","2,088","2,267","2,356","2,640","3,005","3,147","2,996","2,992","3,363","3,383","3,302","3,172","3,451","3,847","4,267","4,800","5,706","5,961","6,572","7,011","7,221","6,619","6,438","6,403","6,164","6,130","6,184","6,003","6,062","5,747","5,474","5,294","5,248","5,164","5,355","5,361","5,574","6,031","6,289","6,420","6,392","6,345","5,523","5,792","5,917","6,370","7,062","7,316","7,428","7,821","7,609","7,379","6,938","6,368","5,907","5,980","5,753","5,855","5,770","6,356","6,465","5,799","5,601","5,516","5,085","5,309","4,306","3,891","4,232","2,831","3,344","3,464","3,238","3,358","2,644","2,413","2,459","2,418","2,749","2,005","1,793","1,581","1,243","1,064","840","722","530","393","298","221","179","119","108","65","33","64"
"서울특별시 성북구 성북동(1129052500)","15,433","15,433","58","52","50","41","49","59","38","61","53","64","72","78","90","96","93","89","88","113","120","140","142","182","195","195","239","291","268","264","297","266","288","291","324","282","295","233","229","183","200","208","189","192","217","215","200","221","218","168","194","214","207","257","283","267","281","298","281","270","268","206","248","226","218","219","225","237","192","194","185","186","200","165","131","138","95","116","116","127","129","105","108","92","101","103","93","86","66","64","58","37","36","26","20","13","10","15","8","9","4","2","8"
"서울특별시 성북구 삼선동(1129055500)","21,521","21,521","55","53","58","60","63","60","67","71","89","100","108","104","99","139","143","139","149","168","200","232","273","329","368","428","455","494","449","453","416","382","369","353","357","312","306","277","252","264","258","245","232","269","262","276","288","286","278","252","287","274","326","375","388","384","443","422","392","382","319","323","293","295","288","275","296","356","256","284","258","243","270","201","172","192","142","143","190","158","177","147","143","138","138","152","118","102","99","82","72","47","43","27","16","14","9","7","5","7","3","4","4"
"서울특별시 성북구 동선동(1129057500)","14,633","14,633","34","24","30","22","26","31","32","39","49","50","59","43","62","58","61","54","63","67","93","265","340","415","531","574","494","526","478","457","418","373","365","342","292","238","215","205","192","190","195","192","169","167","177","147","173","162","178","155","146","159","153","176","180","184","215","218","191","179","162","132","150","155","143","142","144","147","137","142","132","124","124","111","92","110","51","77","98","89","104","88","62","85","81","79","55","66","40","46","32","18","29","13","14","10","8","8","5","1","0","2","2"
"서울특별시 성북구 돈암제1동(1129058000)","13,752","13,752","51","69","55","55","66","57","50","61","60","89","62","88","88","89","105","96","91","110","127","109","130","155","158","164","171","194","161","183","189","195","177","190","191","186","216","180","173","195","160","152","158","150","187","180","214","162","165","164","155","178","183","217","232","275","256","271","293","248","235","223","241","208","245","229","245","241","235","200","235","207","200","175","143","164","108","127","151","124","112","101","90","96","81","104","84","69","64","35","34","48","38","19","14","8","9","10","5","4","2","1","2"
"서울특별시 성북구 돈암제2동(1129059000)","22,753","22,753","112","95","109","131","124","131","158","185","205","218","215","247","226","240","242","261","229","278","264","252","241","284","219","234","227","296","258","251","273","249","250","256","266","283","251","277","258","264","269","296","299","334","348","371","381","370","385","328","384","371","403","453","464","435","490","439","435","427","383","313","347","343","343","324","314","344","321","248","275","261","256","199","182","215","136","163","140","138","149","115","109","107","90","129","94","75","72","55","48","50","40","28","34","22","10","12","6","8","8","2","4"
"서울특별시 성북구 안암동(1129060000)","15,425","15,425","30","28","19","35","37","30","48","32","43","50","52","34","56","44","48","54","64","62","92","245","452","492","551","736","779","770","622","559","493","377","356","300","298","219","217","173","175","141","134","132","126","155","129","144","126","140","136","143","132","138","141","161","206","178","211","178","211","206","192","165","170","162","171","143","174","160","139","132","129","136","127","120","106","109","69","102","92","79","83","65","88","67","72","91","57","44","47","40","26","36","26","17","14","8","7","4","7","4","5","0","0"
"서울특별시 성북구 보문동(1129061000)","15,713","15,713","93","75","64","63","77","84","88","91","85","97","100","83","81","90","103","74","85","96","122","113","124","147","220","196","301","287","259","286","307","294","304","307","292","300","259","288","245","236","253","232","242","251","210","232","221","250","216","188","185","217","215","273","243","283","290","277","285","280","229","232","216","216","209","213","252","238","223","193","187","159","164","117","145","134","95","117","117","115","99","86","86","73","78","86","69","60","42","44","40","30","15","25","19","10","6","2","7","2","0","2","2"
"서울특별시 성북구 정릉제1동(1129062000)","17,495","17,495","91","73","94","84","117","100","123","119","134","134","168","143","157","168","152","172","160","163","181","191","196","210","198","221","258","219","244","190","198","202","202","196","192","239","248","238","235","223","212","224","249","248","267","271","313","309","303","234","251","286","281","312","345","336","327","329","279","245","258","233","215","216","232","234","243","274","244","208","218","195","211","194","178","170","106","152","151","143","158","105","97","99","106","123","99","83","57","60","38","31","33","17","16","14","7","10","3","8","2","0","0"
"서울특별시 성북구 정릉제2동(1129063000)","21,645","21,645","81","81","106","91","102","111","113","102","128","140","137","150","88","142","143","151","136","164","182","181","196","228","255","275","290","291","323","300","302","322","287","280","294","336","287","261","277","276","263","290","252","274","277","308","311","333","294","269","289","272","318","358","364","410","462","378","418","351","348","298","339","335","358","328","362","372","351","356","333","315","327","251","227","268","174","221","188","197","204","148","127","148","136","180","113","103","90","74","55","54","55","39","14","11","14","5","5","11","4","2","5"
"서울특별시 성북구 정릉제3동(1129064000)","13,773","13,773","43","28","29","40","25","30","24","33","40","52","45","55","50","74","55","63","70","83","111","217","276","368","441","460","445","356","308","279","239","243","211","198","183","228","161","133","113","138","110","118","115","107","154","145","128","155","143","128","130","124","160","168","205","217","216","203","215","216","205","187","196","176","182","194","220","216","202","241","203","174","206","160","143","163","92","131","146","123","134","92","109","105","94","106","76","76","71","44","50","34","28","23","19","11","9","5","12","3","6","2","0"
