"행정구역","2025년10월_거주자_총인구수","2025년10월_거주자_연령구간인구수","2025년10월_거주자_17세"
"서울특별시 성북구 (1129000000)","421,029","3,451","3,451"
"서울특별시 성북구 성북동(1129052500)","15,433","113","113"
"서울특별시 성북구 삼선동(1129055500)","21,521","168","168"
"서울특별시 성북구 동선동(1129057500)","14,633","67","67"
"서울특별시 성북구 돈암제1동(1129058000)","13,752","110","110"
"서울특별시 성북구 돈암제2동(1129059000)","22,753","278","278"
"서울특별시 성북구 안암동(1129060000)","15,425","62","62"
"서울특별시 성북구 보문동(1129061000)","15,713","96","96"
"서울특별시 성북구 정릉제1동(1129062000)","17,495","163","163"
"서울특별시 성북구 정릉제2동(1129063000)","21,645","164","164"
"서울특별시 성북구 정릉제3동(1129064000)","13,773","83","83"
"서울특별시 성북구 정릉제4동(1129065000)","23,413","183","183"
"서울특별시 성북구 길음제1동(1129066000)","35,354","474","474"
"서울특별시 성북구 길음제2동(1129068500)","21,237","220","220"
"서울특별시 성북구 종암동(1129070500)","36,682","326","326"
"서울특별시 성북구 월곡제1동(1129071500)","24,676","259","259"
"서울특별시 성북구 월곡제2동(1129072500)","18,239","126","126"
"서울특별시 성북구 장위제1동(1129076000)","22,614","180","180"
"서울특별시 성북구 장위제2동(1129077000)","15,524","88","88"
"서울특별시 성북구 장위제3동(1129078000)","18,510","115","115"
"서울특별시 성북구 석관동(1129081000)","32,637","176","176"
